"","id","t","res","obs","culls","scares","tend_crops","cull_cost","scare_cost","yield"
"1",1,1,987,975.057,0,0,750,44,48,9512.12
"2",1,2,982,997.732,0,0,750,51,48,9518.25
"3",1,3,998,952.381,0,0,750,72,27,9520.12
"4",1,4,1016,929.705,0,0,750,82,38,9514
"5",1,5,1021,1224.49,111,0,639,10,10,9514
"6",1,6,1077,1133.79,136,0,614,10,10,NA
"7",1,7,975,1111.11,160,0,590,10,10,NA
"8",1,8,855,997.732,111,0,639,10,10,NA
"9",1,9,774,861.678,NA,NA,NA,NA,NA,NA
"10",2,1,993,793.651,0,6,1628,59,32,9512.12
"11",2,2,1013,997.732,0,157,1298,87,22,9516.5
"12",2,3,1052,861.678,0,1483,15,98,11,9504.81
"13",2,4,1084,1065.76,0,210,1230,100,20,9484
"14",2,5,1157,1247.17,24,1601,1,20,10,9484
"15",2,6,1266,1224.49,18,1614,0,20,10,NA
"16",2,7,1180,1496.6,10,1627,1,20,10,NA
"17",2,8,1156,1156.46,10,1627,1,20,10,NA
"18",2,9,1129,861.678,6,1638,0,20,10,NA
"19",2,10,1168,997.732,10,1627,1,20,10,NA
"20",2,11,1203,1224.49,10,1627,1,20,10,NA
"21",2,12,1216,1156.46,297,1204,0,15,10,NA
"22",2,13,923,748.299,248,1278,0,15,10,NA
"23",2,14,737,612.245,294,1209,0,15,10,NA
"24",2,15,486,702.948,248,1278,0,15,10,NA
"25",2,16,272,204.082,NA,NA,NA,10,10,NA
"26",3,1,1030,861.678,1,56,431,54,29,9511.25
"27",3,2,1075,1337.87,0,252,20,77,23,9498.25
"28",3,3,1105,861.678,0,220,72,88,24,9479.12
"29",3,4,1148,1247.17,0,300,0,93,20,9463.38
"30",3,5,1259,1541.95,597,3,0,10,10,9463.38
"31",3,6,784,793.651,400,0,0,15,10,NA
"32",3,7,418,453.515,1,595,2,25,10,NA
"33",3,8,445,317.46,0,599,1,40,10,NA
"34",3,9,485,453.515,0,599,1,40,10,NA
"35",3,10,541,408.163,0,600,0,40,10,NA
"36",3,11,579,476.19,0,599,1,40,10,NA
"37",3,12,646,453.515,0,600,0,40,10,NA
"38",3,13,716,544.218,0,600,0,40,10,NA
"39",3,14,784,453.515,0,600,0,40,10,NA
"40",3,15,863,702.948,0,600,0,40,10,NA
"41",3,16,957,748.299,0,599,1,40,10,NA
"42",3,17,1084,702.948,0,600,0,40,10,NA
"43",3,18,1214,1065.76,0,600,0,40,10,NA
"44",3,19,1371,1269.84,0,600,0,40,10,NA
"45",3,20,1517,1496.6,0,600,0,40,10,NA
"46",3,21,1620,1564.63,400,0,0,15,10,NA
"47",3,22,1374,1473.92,400,0,0,15,10,NA
"48",3,23,1098,1111.11,400,0,0,15,10,NA
"49",3,24,774,748.299,400,0,0,15,10,NA
"50",3,25,422,340.136,61,478,0,20,10,NA
"51",3,26,379,340.136,30,540,0,20,10,NA
"52",3,27,389,294.785,56,488,0,20,10,NA
"53",3,28,368,476.19,40,520,0,20,10,NA
"54",3,29,348,453.515,40,520,0,20,10,NA
"55",3,30,317,272.109,59,482,0,20,10,NA
"56",3,31,279,136.054,4,587,0,25,10,NA
"57",3,32,319,226.757,0,596,1,25,10,NA
"58",3,33,349,181.406,8,580,0,25,10,NA
"59",3,34,370,272.109,0,596,1,25,10,NA
"60",3,35,414,498.866,5,585,0,25,10,NA
"61",3,36,444,430.839,1,595,2,25,10,NA
"62",3,37,487,476.19,0,596,1,25,10,NA
"63",3,38,525,385.488,0,596,1,25,10,NA
"64",3,39,567,408.163,11,572,0,25,10,NA
"65",3,40,610,476.19,1,595,2,25,10,NA
"66",3,41,649,725.624,1,595,2,25,10,NA
"67",3,42,723,702.948,5,587,0,25,10,NA
"68",3,43,783,839.002,11,572,0,25,10,NA
"69",3,44,866,816.327,11,572,0,25,10,NA
"70",3,45,913,1065.76,5,587,0,25,10,NA
"71",3,46,996,1201.81,577,23,0,10,10,NA
"72",3,47,461,521.542,400,0,0,15,10,NA
"73",3,48,69,45.351,NA,NA,NA,15,10,NA
"74",4,1,1146,929.705,0,0,1649,41,51,9514.62
"75",4,2,1333,1247.17,0,0,1650,60,49,9441.88
"76",4,3,1525,1179.14,0,0,1650,62,45,9356.25
"77",4,4,1780,1700.68,0,0,1650,73,32,9269.38
"78",4,5,2153,2154.2,NA,NA,NA,NA,NA,9269.38
