"","id","K","land_ownership","stakeholders","manager_budget","manage_target","observe_type","res_move_obs","res_death_k","lambda","res_death_type","remove_pr","user_budget","culling","scaring","tend_crops","land_dim_1","land_dim_2","resource_ini","tend_crop_yld","max_years","public_land","ownership_var","usr_budget_rng","score_display"
"1",1,5,1,5,1000,2000,0,1,1699,0.225734,3,0.053857,1500,NA,1,1,100,100,1000,0.635884,NA,NA,NA,NA,NA
"2",2,5,1,11,1000,2000,0,1,1063,0.245522,3,0.053081,1500,NA,1,1,100,100,1000,0.257651,NA,NA,NA,NA,NA
"3",3,5,1,4,1000,2000,0,1,5875,0.26935,3,0.081942,1500,NA,1,1,100,100,1000,0.153995,NA,NA,NA,NA,NA
"4",4,5,1,11,1000,2000,0,1,2116,0.322007,3,0.018132,1500,NA,1,1,100,100,1000,0.708962,NA,NA,NA,NA,NA
"5",5,5,1,12,1000,2000,0,1,1370,0.364034,3,0.079672,1500,NA,1,1,100,100,1000,0.559982,NA,NA,NA,NA,NA
"6",6,5,1,6,1000,2000,0,1,4038,0.318822,3,0.005252,1500,NA,1,1,100,100,1000,0.148474,NA,NA,NA,NA,NA
"7",7,5,1,5,1000,2000,0,1,3417,0.310608,3,0.053206,1500,NA,1,1,100,100,1000,0.539589,NA,NA,NA,NA,NA
"8",8,5,1,5,1000,2000,0,1,4826,0.392911,3,0.01745,1500,NA,1,1,100,100,1000,0.527341,NA,NA,NA,NA,NA
"9",9,5,1,10,1000,2000,0,1,5776,0.326246,3,0.084984,1500,NA,1,1,100,100,1000,0.61435,NA,NA,NA,NA,NA
"10",10,5,1,11,1000,2000,0,1,1038,0.209316,3,0.063149,1500,NA,1,1,100,100,1000,0.174482,NA,NA,NA,NA,NA
"11",11,5,1,7,1000,2000,0,1,2128,0.342943,3,0.091205,1500,NA,1,1,100,100,1000,0.505703,NA,NA,NA,NA,NA
"12",12,5,1,12,1000,2000,0,1,2460,0.205692,3,0.035043,1500,NA,1,1,100,100,1000,0.576214,NA,NA,NA,NA,NA
"13",13,5,1,12,1000,2000,0,1,5399,0.334418,3,0.065091,1500,NA,1,1,100,100,1000,0.626555,NA,NA,NA,NA,NA
"14",14,5,1,5,1000,2000,0,1,2310,0.350879,3,0.057647,1500,NA,1,1,100,100,1000,0.481832,NA,NA,NA,NA,NA
"15",15,5,1,11,1000,2000,0,1,5681,0.392413,3,0.0776,1500,NA,1,1,100,100,1000,0.393171,NA,NA,NA,NA,NA
"16",16,5,1,6,1000,2000,0,1,4789,0.356697,3,0.084693,1500,NA,1,1,100,100,1000,0.46102,NA,NA,NA,NA,NA
"17",17,5,1,8,1000,2000,0,1,3977,0.220887,3,0.092608,1500,NA,1,1,100,100,1000,0.436196,NA,NA,NA,NA,NA
"18",18,5,1,4,1000,2000,0,1,2777,0.392543,3,0.068274,1500,NA,1,1,100,100,1000,0.16686,NA,NA,NA,NA,NA
"19",19,5,1,6,1000,2000,0,1,4176,0.379542,3,0.090937,1500,NA,1,1,100,100,1000,0.366788,NA,NA,NA,NA,NA
"20",20,5,1,9,1000,2000,0,1,3518,0.336334,3,0.006775,1500,NA,1,1,100,100,1000,0.118814,NA,NA,NA,NA,NA
"21",21,5,1,10,1000,2000,0,1,2591,0.225623,3,0.021309,1500,NA,1,1,100,100,1000,0.733886,NA,NA,NA,NA,NA
"22",22,5,1,5,1000,2000,0,1,4663,0.365099,3,0.04845,1500,NA,1,1,100,100,1000,0.437345,NA,NA,NA,NA,NA
"23",23,5,1,8,1000,2000,0,1,5927,0.325852,3,0.053548,1500,NA,1,1,100,100,1000,0.675311,NA,NA,NA,NA,NA
"24",24,5,1,11,1000,2000,0,1,3619,0.24829,3,0.041541,1500,NA,1,1,100,100,1000,0.461578,NA,NA,NA,NA,NA
"25",25,5,1,12,1000,2000,0,1,4387,0.360362,3,0.087294,1500,NA,1,1,100,100,1000,0.705433,NA,NA,NA,NA,NA
"26",26,5,1,4,1000,2000,0,1,2300,0.383331,3,0.045563,1500,NA,1,1,100,100,1000,0.271739,NA,NA,NA,NA,NA
"27",27,5,1,9,1000,2000,0,1,2874,0.340507,3,0.001413,1500,NA,1,1,100,100,1000,0.452112,NA,NA,NA,NA,NA
"28",28,5,1,12,1000,2000,0,1,1709,0.319993,3,0.008456,1500,NA,1,1,100,100,1000,0.369264,NA,NA,NA,NA,NA
"29",29,5,1,8,1000,2000,0,1,1835,0.366714,3,0.035878,1500,NA,1,1,100,100,1000,0.611545,NA,NA,NA,NA,NA
"30",30,5,1,10,1000,2000,0,1,4183,0.200994,3,0.034856,1500,NA,1,1,100,100,1000,0.579765,NA,NA,NA,NA,NA
"31",31,5,1,4,1000,2000,0,1,2843,0.331635,3,0.017829,1500,NA,1,1,100,100,1000,0.682241,NA,NA,NA,NA,NA
"32",32,5,1,4,1000,2000,0,1,4760,0.203542,3,0.005473,1500,NA,1,1,100,100,1000,0.333405,NA,NA,NA,NA,NA
"33",33,5,1,9,1000,2000,0,1,1304,0.313734,3,0.096156,1500,NA,1,1,100,100,1000,0.312536,NA,NA,NA,NA,NA
"34",34,5,1,11,1000,2000,0,1,5314,0.300867,3,0.010068,1500,NA,1,1,100,100,1000,0.705581,NA,NA,NA,NA,NA
"35",35,5,1,5,1000,2000,0,1,5004,0.380206,3,0.008119,1500,NA,1,1,100,100,1000,0.148696,NA,NA,NA,NA,NA
"36",36,5,1,6,1000,2000,0,1,2828,0.311954,3,0.013842,1500,NA,1,1,100,100,1000,0.260485,NA,NA,NA,NA,NA
