"","id","steps","mean_res","mean_yield","total","score_version"
"1",1,9,96,98,369,NA
"2",2,16,100,95,507,NA
"3",3,48,73,96,980,NA
"4",5,6,116,99,344,NA
"5",6,6,110,94,326,NA
"6",7,11,110,96,433,NA
"7",8,9,138,93,439,NA
"8",11,5,132,98,345,NA
"9",12,12,97,104,442,NA
"10",13,7,108,102,357,NA
"11",15,6,154,94,397,NA
"12",16,64,386,84,3478,NA
"13",17,100,85,101,2046,NA
"14",18,138,331,85,6157,NA
"15",19,104,544,77,7079,NA
"16",23,112,705,76,9528,NA
"17",24,22,160,98,826,NA
"18",26,8,193,91,511,NA
"19",29,6,121,96,347,NA
"20",32,6,90,96,298,NA
"21",33,6,105,94,318,NA
"22",37,9,197,96,557,NA
"23",38,24,344,90,1476,NA
"24",39,6,75,96,274,NA
"25",40,58,333,86,2849,NA
"26",41,13,107,96,467,NA
"27",42,44,243,93,1814,NA
"28",43,5,116,100,324,NA
"29",44,24,56,97,520,NA
"30",45,24,92,101,656,NA
"31",46,26,382,91,1703,NA
"32",49,9,139,100,454,NA
"33",50,29,158,96,991,NA
"34",51,48,87,99,1079,NA
"35",56,128,299,86,5313,NA
"36",57,7,124,93,369,NA
"37",58,10,107,95,404,NA
"38",60,25,76,101,620,NA
"39",65,8,114,96,378,NA
"40",66,75,291,92,3256,NA
"41",67,6,89,96,296,NA
"42",73,6,108,94,323,NA
"43",77,111,62,98,1936,NA
"44",79,67,332,85,3211,NA
"45",83,7,105,95,340,NA
"46",85,8,67,96,293,NA
"47",87,9,65,96,306,NA
"48",89,82,290,87,3468,NA
"49",91,25,181,92,956,NA
"50",92,25,57,98,542,NA
"51",93,25,275,88,1270,NA
"52",94,25,90,100,665,NA
"53",95,25,157,99,256,1
"54",96,25,154,93,247,1
"55",97,6,100,90,190,1
"56",98,25,233,88,321,1
"57",99,25,169,93,262,1
"58",100,25,212,90,302,1
"59",101,25,219,89,308,1
"60",102,25,150,96,246,1
"61",103,25,205,96,301,1
"62",105,25,50,98,148,1
"63",106,25,154,95,249,1
"64",107,25,162,94,256,1
"65",109,25,200,98,298,1
"66",110,25,213,88,301,1
"67",111,25,102,95,197,1
"68",114,25,204,87,291,1
"69",115,25,96,96,192,1
"70",116,25,156,90,246,1
"71",117,25,67,102,169,1
"72",118,25,201,93,294,1
"73",120,16,111,99,210,1
"74",126,25,208,91,299,1
"75",129,9,87,95,182,1
"76",132,25,209,89,298,1
"77",133,25,70,97,167,1
"78",134,25,163,97,260,1
"79",135,25,180,92,272,1
"80",136,25,255,84,339,1
"81",137,25,200,90,290,1
"82",138,25,189,88,277,1
"83",140,25,266,82,348,1
"84",142,25,180,95,275,1
"85",143,25,265,81,346,1
"86",144,25,243,88,331,1
"87",145,25,204,87,291,1
"88",147,6,100,94,194,1
"89",148,25,69,97,166,1
"90",149,25,67,97,164,1
"91",150,25,170,94,264,1
"92",151,23,81,99,180,1
"93",152,9,48,97,145,1
"94",153,25,151,96,247,1
"95",154,25,231,92,323,1
"96",156,25,170,98,268,1
"97",157,25,217,96,313,1
"98",159,7,101,92,193,1
"99",161,6,100,91,191,1
"100",162,6,100,94,194,1
"101",163,25,241,97,338,1
"102",164,25,58,98,156,1
"103",165,25,155,103,258,1
"104",166,10,66,95,161,1
"105",167,8,55,94,149,1
"106",168,8,52,94,146,1
"107",169,25,250,81,331,1
"108",170,14,77,93,170,1
"109",171,16,63,98,161,1
"110",172,25,145,98,243,1
"111",173,25,96,97,193,1
"112",174,25,87,99,186,1
"113",176,6,100,98,198,1
"114",178,11,56,98,154,1
"115",180,11,90,96,186,1
"116",181,7,58,93,151,1
"117",182,6,100,94,194,1
"118",183,25,152,94,246,1
"119",184,25,138,98,236,1
"120",185,9,64,96,160,1
"121",186,8,62,96,158,1
"122",187,25,127,99,226,1
"123",188,25,128,93,221,1
"124",189,25,92,96,188,1
"125",190,25,126,97,223,1
"126",191,25,178,94,272,1
"127",192,25,196,91,287,1
"128",193,7,64,93,157,1
"129",194,25,51,100,151,1
"130",195,25,131,97,228,1
"131",196,25,231,97,328,1
"132",197,25,255,88,343,1
"133",198,25,31,103,134,1
"134",200,25,156,95,251,1
"135",201,15,55,100,155,1
"136",203,15,129,99,228,1
"137",204,25,250,83,333,1
"138",205,25,235,88,323,1
"139",206,25,56,102,158,1
"140",207,7,60,95,155,1
"141",209,22,21,101,122,1
"142",210,25,49,101,150,1
"143",211,9,38,96,134,1
"144",212,25,276,79,355,1
"145",213,14,62,101,163,1
"146",214,6,100,92,192,1
"147",215,17,61,103,164,1
"148",216,6,100,91,191,1
"149",217,12,74,97,171,1
"150",218,6,100,90,190,1
"151",219,25,51,102,153,1
"152",220,25,394,98,492,1
"153",221,25,203,100,303,1
"154",222,7,80,92,172,1
"155",223,25,244,84,328,1
"156",224,6,100,89,189,1
"157",225,25,263,85,348,1
"158",226,25,269,85,354,1
"159",227,25,181,92,273,1
"160",228,25,187,92,279,1
"161",229,9,54,94,148,1
"162",230,25,104,95,199,1
"163",231,10,55,96,151,1
"164",232,25,57,97,154,1
"165",233,25,38,100,138,1
"166",234,6,100,89,189,1
"167",235,25,50,102,152,1
"168",236,16,27,101,128,1
"169",238,25,67,98,165,1
"170",240,6,100,88,188,1
"171",244,7,71,95,166,1
"172",245,25,113,97,210,1
"173",246,25,279,97,376,1
"174",247,25,336,88,424,1
"175",249,25,62,100,162,1
"176",252,25,154,95,249,1
"177",253,25,75,100,175,1
"178",254,25,111,93,204,1
